iter,group,variant,target,issued_target,parse_noise,disturbed,closed_loop,max_retry,attempts_used,set_ok_last,set_fault_last,set_rtt_ms_last,disturb_ok_last,disturb_fault_last,disturb_rtt_ms_last,probe_ok_last,probe_fault_last,probe_value_last,probe_rtt_ms_last,converged,rtt_total_ms
1,G1_text_proxy,guarded,1,0,1,1,0,1,1,1,,13.662,1,,3.530,1,,0,3.859,0,21.050
2,G1_text_proxy,guarded,0,1,1,0,0,1,1,1,,13.493,,,,1,,1,2.920,0,16.413
3,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.514,,,,1,,1,3.000,1,16.514
4,G1_text_proxy,guarded,0,1,1,1,0,1,1,1,,13.554,1,,4.012,1,,1,3.019,0,20.585
5,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.678,,,,1,,1,3.067,1,16.745
6,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.652,,,,1,,0,3.145,1,16.797
7,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.699,1,,3.207,1,,0,3.733,0,20.638
8,G1_text_proxy,guarded,0,1,1,0,0,1,1,1,,13.413,,,,1,,1,3.262,0,16.674
9,G1_text_proxy,guarded,1,0,1,0,0,1,1,1,,13.801,,,,1,,0,3.291,0,17.092
10,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.856,,,,1,,0,3.398,1,17.253
11,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.113,,,,1,,1,2.983,1,17.096
12,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.484,,,,1,,0,2.992,1,16.476
13,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.710,1,,3.203,1,,0,3.558,0,20.470
14,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,14.257,1,,3.816,1,,1,3.267,0,21.340
15,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.812,,,,1,,1,3.349,1,17.161
16,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.862,1,,3.910,1,,1,3.389,0,21.161
17,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.956,1,,3.489,1,,0,3.014,0,20.459
18,G1_text_proxy,guarded,0,1,1,1,0,1,1,1,,13.764,1,,3.187,1,,1,3.554,0,20.505
19,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.312,,,,1,,1,3.785,1,18.097
20,G1_text_proxy,guarded,0,1,1,0,0,1,1,1,,13.368,,,,1,,1,3.855,0,17.224
21,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.976,1,,3.451,1,,0,2.980,0,20.407
22,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.515,,,,1,,0,3.082,1,16.597
23,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.584,,,,1,,1,3.080,1,16.664
24,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.615,1,,3.144,1,,1,4.187,0,20.945
25,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,14.188,1,,3.060,1,,0,3.533,0,20.781
26,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.271,,,,1,,0,3.645,1,17.916
27,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.289,,,,1,,1,3.715,1,18.004
28,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.389,1,,3.889,1,,1,3.386,0,20.664
29,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.998,,,,1,,1,3.517,1,17.516
30,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.053,,,,1,,0,3.061,1,17.114
31,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.614,,,,1,,1,3.106,1,16.719
32,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.642,,,,1,,0,3.164,1,16.806
33,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.687,,,,1,,1,3.168,1,16.855
34,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.716,1,,3.196,1,,1,3.191,0,20.103
35,G1_text_proxy,guarded,1,0,1,0,0,1,1,1,,13.842,,,,1,,0,3.285,0,17.127
36,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.894,,,,1,,0,3.328,1,17.222
37,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.158,,,,1,,1,2.932,1,17.090
38,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.469,1,,3.966,1,,1,3.500,0,20.935
39,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.228,,,,1,,1,3.690,1,17.918
40,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.267,,,,1,,0,3.761,1,18.028
41,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.819,1,,3.330,1,,0,3.846,0,20.994
42,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.406,,,,1,,0,2.879,1,16.284
43,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.459,,,,1,,1,2.919,1,16.378
44,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.486,,,,1,,0,2.982,1,16.469
45,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.569,,,,1,,1,2.986,1,16.555
46,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.137,,,,1,,0,3.618,1,17.755
47,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,14.171,1,,3.674,1,,0,3.178,0,21.023
48,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.812,1,,3.282,1,,1,3.824,0,20.918
49,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.590,,,,1,,1,3.881,1,17.471
50,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.612,,,,1,,0,2.948,1,16.560
51,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.002,,,,1,,1,3.480,1,17.482
52,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.240,,,,1,,0,3.531,1,17.771
53,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,14.620,1,,3.150,1,,0,3.628,0,21.397
54,G1_text_proxy,guarded,0,1,1,0,0,1,1,1,,14.206,,,,1,,1,3.691,0,17.898
55,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.444,,,,1,,1,3.729,1,17.172
56,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.473,,,,1,,0,2.774,1,16.246
57,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.528,,,,1,,1,3.014,1,16.542
58,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.080,,,,1,,0,3.414,1,17.495
59,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.175,,,,1,,1,3.689,1,17.864
60,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.767,,,,1,,0,3.059,1,17.826
61,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.786,,,,1,,1,3.299,1,17.085
62,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.854,,,,1,,0,3.343,1,17.197
63,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.931,,,,1,,1,3.871,1,17.802
64,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.507,,,,1,,0,4.002,1,17.509
65,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.563,,,,1,,1,3.015,1,16.578
66,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.596,1,,3.035,1,,1,3.584,0,20.214
67,G1_text_proxy,guarded,1,0,1,0,0,1,1,1,,14.164,,,,1,,0,3.701,0,17.865
68,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.244,,,,1,,0,3.719,1,17.964
69,G1_text_proxy,guarded,1,0,1,0,0,1,1,1,,13.863,,,,1,,0,3.281,0,17.144
70,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.896,,,,1,,0,3.860,1,17.756
71,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,13.474,,,,1,,1,2.918,1,16.392
72,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,13.504,1,,4.085,1,,1,3.523,0,21.111
73,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,14.175,1,,3.766,1,,0,3.068,0,21.010
74,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.856,,,,1,,0,3.318,1,17.175
75,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.948,1,,3.351,1,,0,3.876,0,21.175
76,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.488,,,,1,,0,2.936,1,16.424
77,G1_text_proxy,guarded,1,1,0,0,0,1,1,1,,14.064,,,,1,,1,3.472,1,17.536
78,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,14.104,,,,1,,0,3.033,1,17.137
79,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.636,1,,3.079,1,,0,3.651,0,20.366
80,G1_text_proxy,guarded,0,0,0,1,0,1,1,1,,14.224,1,,3.716,1,,1,3.210,0,21.150
81,G1_text_proxy,guarded,1,1,0,1,0,1,1,1,,13.791,1,,3.293,1,,0,3.803,0,20.887
82,G1_text_proxy,guarded,0,1,1,0,0,1,1,1,,13.408,,,,1,,1,2.865,0,16.273
83,G1_text_proxy,guarded,1,0,1,0,0,1,1,1,,13.464,,,,1,,0,2.928,0,16.392
84,G1_text_proxy,guarded,0,0,0,0,0,1,1,1,,13.517,,,,1,,0,3.044,1,16.561
