task_id,category,output_bytes,valid_structure,code
V2_001,single_set,97,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH);
  delay(1000);
}"
V2_002,single_set,96,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW);
  delay(1000);
}"
V2_003,single_set,137,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(1000);
}"
V2_004,single_set,136,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(1000);
}"
V2_005,single_read,142,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int relay1_state = digitalRead(D1);
  Serial.println(relay1_state);
  delay(1000);
}"
V2_006,single_read,142,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int relay2_state = digitalRead(D2);
  Serial.println(relay2_state);
  delay(1000);
}"
V2_007,single_read,139,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int water_value = analogRead(A0);
  Serial.println(water_value);
  delay(1000);
}"
V2_008,single_read,256,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int tempReading = analogRead(A1);
  float voltage = (tempReading * 5.0) / 1024;
  float temperature = (voltage - 0.5) * 100;
  Serial.println("
V2_009,single_read,169,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int humidity = analogRead(humidity_sensor);
  Serial.println(""Humidity: "" + String(humidity));
  delay(1000);
}"
V2_010,set_wait_halt,154,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(50);
  digitalWrite(D1, LOW); // 关闭 relay1
}"
V2_011,set_wait_halt,155,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(100);
  digitalWrite(D1, LOW); // 关闭 relay1
}"
V2_012,set_wait_halt,155,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(200);
  digitalWrite(D1, LOW); // 停止 relay1
}"
V2_013,set_wait_halt,155,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(500);
  digitalWrite(D1, LOW); // 停止 relay1
}"
V2_014,set_wait_halt,94,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW);
  delay(50);
}"
V2_015,set_wait_halt,95,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW);
  delay(100);
}"
V2_016,set_wait_halt,112,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(200);
}"
V2_017,set_wait_halt,133,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(500); // 等待 500 毫秒
}"
V2_018,set_wait_halt,177,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(50);
  digitalWrite(D2, LOW); // 停止 relay2
}"
V2_019,set_wait_halt,199,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(100); // 等待 100 毫秒
  digitalWrite(D2, LOW); // 停止 relay2
}"
V2_020,set_wait_halt,178,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(200);
  digitalWrite(D2, LOW); // 停止 relay2
}"
V2_021,set_wait_halt,178,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(500);
  digitalWrite(D2, LOW); // 停止 relay2
}"
V2_022,set_wait_halt,117,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW);
  delay(50);
}"
V2_023,set_wait_halt,118,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW);
  delay(100);
}"
