task_id,temperature,run,ir_valid,compile_pass,verify_pass,execution_pass,task_success,mir
V2_001,0.6,1,True,True,True,True,True,"task V2_001 {
  require cap(relay1)
  set relay1 = 1
  halt
}"
V2_002,0.6,1,True,True,True,True,True,"task V2_002 {
  require cap(relay1)
  set relay1 = 0
  halt
}"
V2_003,0.6,1,True,True,True,True,True,"task V2_003 {
  require cap(relay2)
  set relay2 = 1
  halt
}"
V2_004,0.6,1,True,True,True,True,True,"task V2_004 {
  require cap(relay2)
  set relay2 = 0
  halt
}"
V2_005,0.6,1,True,True,True,True,True,"task V2_005 {
    require cap(relay1)
    read relay1
    halt
}"
V2_006,0.6,1,True,True,True,True,True,"task V2_006 {
  require cap(relay2)
  read relay2
  halt
}"
V2_007,0.6,1,True,True,True,True,True,"task V2_007 {
  require cap(water_sensor)
  read water_sensor
  halt
}"
V2_008,0.6,1,True,True,True,True,True,"task V2_008 {
    require cap(temperature_sensor)
    read temperature_sensor
    halt
}"
V2_009,0.6,1,True,True,True,True,True,"task V2_009 {
  require cap(humidity_sensor)
  read humidity_sensor
  halt
}"
V2_010,0.6,1,True,True,True,True,False,"task V2_010 {
    require cap(relay1)
    set relay1 = 1
    wait 50ms
    set relay1 = 0
    halt
}"
V2_011,0.6,1,True,True,True,True,False,"task V2_011 {
    require cap(relay1)
    set relay1 = 1
    wait 100ms
    set relay1 = 0
    halt
}"
V2_012,0.6,1,True,True,True,True,True,"task V2_012 {
    require cap(relay1)
    set relay1 = 1
    wait 200ms
    halt
}"
V2_013,0.6,1,True,True,True,True,True,"task V2_013 {
  require cap(relay1)
  set relay1 = 1
  wait 500ms
  halt
}"
V2_014,0.6,1,True,True,True,True,True,"task V2_014 {
    require cap(relay1)
    set relay1 = 0
    wait 50ms
    halt
}"
V2_015,0.6,1,True,True,True,True,True,"task V2_015 {
    require cap(relay1)
    set relay1 = 0
    wait 100ms
    halt
}"
