n_ops,bytecode_size,exec_steps,compile_time_us,lir_lines
1,9,5,861.3000391051173,5
2,13,7,41.79996903985739,6
3,17,9,35.60003824532032,7
4,19,10,39.29995000362396,8
5,23,12,44.29998807609081,9
6,27,14,49.79991354048252,10
7,29,15,51.200040616095066,11
8,33,17,56.30007945001125,12
9,37,19,61.60000339150429,13
10,39,20,67.20004603266716,14
11,43,22,71.79996464401484,15
12,47,24,77.40000728517771,16
13,49,25,81.90004155039787,17
14,53,27,85.60006972402334,18
15,57,29,92.40000508725643,19
16,59,30,98.19993283599615,20
17,63,32,102.69996710121632,21
18,67,34,107.10000060498714,22
19,69,35,111.20003182440996,23
20,73,37,119.69998013228178,24
21,77,39,123.30000754445791,25
22,79,40,127.20003724098206,26
23,83,42,133.69997031986713,27
24,87,44,220.30004765838385,28
25,89,45,159.70005188137293,29
26,93,47,156.4000267535448,30
27,97,49,156.699912622571,31
28,99,50,166.89999029040337,32
29,103,52,164.89997506141663,33
30,107,54,169.50001008808613,34
31,109,55,174.29993022233248,35
32,113,57,179.50008623301983,36
33,117,59,184.80001017451286,37
34,119,60,188.89992497861385,38
35,123,62,196.20009697973728,39
36,127,64,201.50002092123032,40
37,129,65,204.99993115663528,41
38,133,67,216.20001643896103,42
39,137,69,222.9000674560666,43
40,139,70,224.2999617010355,44
41,143,72,233.40003099292517,45
42,147,74,238.19995112717152,46
43,149,75,241.19997397065163,47
44,153,77,251.29993446171284,48
45,157,79,257.6999831944704,49
46,159,80,255.2000805735588,50
47,163,82,261.5000121295452,51
48,167,84,275.9000053629279,52
49,169,85,272.99998328089714,53
50,173,87,282.6000563800335,54
