task,step_limit,actual_steps,completed,bytecode_size,base_steps
simple_3ops,10,9,1,17,9
simple_3ops,20,9,1,17,9
simple_3ops,50,9,1,17,9
simple_3ops,100,9,1,17,9
simple_3ops,200,9,1,17,9
simple_3ops,500,9,1,17,9
simple_3ops,1000,9,1,17,9
medium_10ops,10,20,0,39,20
medium_10ops,20,20,1,39,20
medium_10ops,50,20,1,39,20
medium_10ops,100,20,1,39,20
medium_10ops,200,20,1,39,20
medium_10ops,500,20,1,39,20
medium_10ops,1000,20,1,39,20
long_30ops,10,54,0,107,54
long_30ops,20,54,0,107,54
long_30ops,50,54,0,107,54
long_30ops,100,54,1,107,54
long_30ops,200,54,1,107,54
long_30ops,500,54,1,107,54
long_30ops,1000,54,1,107,54
retry_3,10,15,0,37,15
retry_3,20,15,1,37,15
retry_3,50,15,1,37,15
retry_3,100,15,1,37,15
retry_3,200,15,1,37,15
retry_3,500,15,1,37,15
retry_3,1000,15,1,37,15
